,DATE,SENTENCE,DOVISH,HAWKISH,NEUTRAL
0,2019-10-30,We do this by steadfastly pursuing the goals that Congress has given us: maximum employment and stable prices.,0.0005244775675237179,0.9905825853347778,0.008893020451068878
1,2019-10-30,Today we decided to lower the interest rates for the third time this year.,0.9890517592430115,0.010255568660795689,0.000692682049702853
2,2019-10-30,We believe that monetary policy is in a good place.,0.0003416019317228347,0.0006330400356091559,0.9990253448486328
3,2019-10-30,"Household spending continues to be strong, supported by a healthy job market, rising incomes, and solid consumer confidence.",0.0003066721255891025,0.9982256293296814,0.0014677183935418725
4,2019-10-30,Sluggish growth abroad and trade developments have been weighing on those sectors.,0.9679964780807495,0.002612099051475525,0.02939150109887123
5,2019-10-30,The job market remains strong.,0.006045547313988209,0.6119897365570068,0.381964772939682
6,2019-10-30,The unemployment rate has been near half-century lows for a year and a half.,0.03834119439125061,0.03438433259725571,0.9272744655609131
7,2019-10-30,This underscores for us the importance of sustaining the expansion so that Chair Powell’s Press Conference FINAL the strong job market reaches more of those left behind.,0.01235148310661316,0.9873510003089905,0.0002975091047119349
8,2019-10-30,Inflation continues to run below our symmetric 2 percent objective.,0.9876575469970703,0.007395569700747728,0.004946913104504347
9,2019-10-30,"Over the 12 months through August, total PCE inflation was 1.4 percent and core inflation was 1.8 percent.",0.0007679130649194121,0.9259033799171448,0.07332872599363327
10,2019-10-30,"Inflation pressures remain muted, and indicators of longer-term inflation expectations are at the lower end of their historic ranges.",0.9830760955810547,0.015209075063467026,0.0017148216720670462
11,2019-10-30,We’re mindful that continued below-target inflation could lead to an unwelcome downward slide in long-term inflation expectations.,0.9954598546028137,0.004355306271463633,0.00018479271966498345
12,2019-10-30,"However, against the backdrop of a strong economy and supportive monetary policy, we expect inflation will rise to 2 percent.",0.9457163214683533,0.05172990262508392,0.002553715370595455
13,2019-10-30,"Overall, we continue to see sustained expansion of economic activity, a strong labor market, and inflation near our symmetric 2 percent objective as most likely.",0.013750270940363407,0.8405910134315491,0.1456586867570877
14,2019-10-30,"While this has been our outlook for quite some time, our views about the path of interest rates that will best achieve these outcomes have changed significantly over the past year.",0.00012379234249237925,8.384704415220767e-05,0.9997923970222473
15,2019-10-30,"As I mentioned, weakness in global growth and trade developments have weighed on the economy and pose ongoing risks.",0.9986255168914795,0.0003489043447189033,0.0010256111854687333
16,2019-10-30,"These factors, in conjunction with muted inflation pressures, have led us to lower our assessment of the appropriate level of the federal funds rate over the past year.",0.9983428716659546,0.0007077149348333478,0.0009493870311416686
17,2019-10-30,"Since monetary policy operates with a lag, the full effects of these adjustments on economic growth, the job market, and inflation will be realized over time.",0.00032390092383138835,0.00012277220957912505,0.9995532631874084
18,2019-10-30,"We see the current stance of monetary policy as likely to remain appropriate as long as incoming information about the economy remains broadly consistent with our outlook of moderate economic growth, a strong labor market, and inflation near our symmetric 2 percent objective.",0.00031334671075455844,0.0004169435997027904,0.9992696642875671
19,2019-10-30,"We believe monetary policy October 30, 2019 is in a good place to achieve these outcomes.",9.228095586877316e-05,0.00023428928398061544,0.9996734857559204
20,2019-10-30,Let me end with a few words about our technical monetary policy operations.,9.207889524986967e-05,9.093819971894845e-05,0.9998169541358948
21,2019-10-30,"In January, we made the key decision to continue to implement monetary policy in an ample-reserves regime.",0.8838070034980774,0.11521568894386292,0.000977347488515079
22,2019-10-30,These actions are purely technical measures to support the effective implementation of monetary policy as we continue to learn about the appropriate level of reserves.,0.00012167570821475238,9.434732055524364e-05,0.9997839331626892
23,2019-10-30,They do not represent a change in the stance of monetary policy.,0.00016400105960201472,9.110629616770893e-05,0.9997448325157166
24,2019-10-30,"In those programs, we purchased longer-term securities to put downward pressure on longer-term interest rates and ease broader financial conditions.",0.9884989857673645,0.011222271248698235,0.0002787132398225367
25,2019-10-30,"In contrast, October 30, 2019 increasing the supply of reserves by purchasing Treasury bills only alters the mix of short-term Chair Powell’s Press Conference FINAL assets held by the public and should not materially affect demand and supply for longer-term securities or financial conditions more broadly.",0.0013342450838536024,0.00037141016218811274,0.9982942938804626
26,2019-10-30,"The performance of the economy has been—particularly the household sector—has been strong, has been resilient, with low unemployment, attractive levels of job creation, wages moving up, labor force participation moving up, household confidence, and solid gains in many measures of consumer spending.",0.0003849186177831143,0.9989416003227234,0.0006735730567015707
27,2019-10-30,"But, overall, we’ve seen moderate growth, a strong labor market, inflation moving up.",0.0024804375134408474,0.9968894124031067,0.0006302156834863126
28,2019-10-30,"It’s for moderate growth, a strong labor market, and inflation near our 2 percent objective.",0.002947536762803793,0.023702232167124748,0.9733502864837646
29,2019-10-30,"So, in terms of risks, what I was referring to there—the principal risks that we’ve been monitoring have been, really, slowing global growth and trade policy developments as well as muted inflation pressure.",0.9963405132293701,0.0014424327528104186,0.002217163098976016
30,2019-10-30,"What we’ve had is an economy where the consumer is really driving growth, and, you know, personal consumption expenditures were almost 3 percent in this quarter—in this first reading for the quarter.",0.00025212744367308915,0.9990105628967285,0.0007372755790129304
31,2019-10-30,"Unemployment has declined again, and the household survey is now at a 50-year low—has been, you know, very close to 50-year lows for 18 months now.",0.34425342082977295,0.6433185338973999,0.01242806576192379
32,2019-10-30,"The consumer-facing companies that we talk to in our vast network of contacts report, you know, that consumers are doing well and are focused on, October 30, 2019 you know, the good job market and rising incomes, and that’s their principle focus.",0.0011990162311121821,0.9877508878707886,0.011050091125071049
